,count,percentage,EOA_count,EOA_percentage
erd1mxqgxc7ynza4kp2vttn88ew742tglv28wwvwha2mn7jzs6n8vr8st2wuy4,0,0.0,14,0.08637176877043617
erd10w8e08ntal9rlvuf3e6jhj5464anqt5vv4jvwmyr8w0j3jlnpr4qnanre6,1,0.006169412055031155,14,0.08637176877043617
erd1atjjtntjckgcecxj2tsamzucd7cvzxjzz89t4yz9nampzx9yz5jqa5a7cr,14,0.08637176877043617,14,0.08637176877043617
erd10wlrupmjvkp9uerljkqpazedyqwwmtc983zfn7ma8czlrwdg6r6scee06g,0,0.0,14,0.08637176877043617
erd1tk38pvmcjhuk597fpnl036n2ff08qmu5yfys8d4s7nql850z05tssae9uh,14,0.08637176877043617,14,0.08637176877043617
erd1gfxz723cdm0ve4nf0j856u4ggqjqdmqvjuuzwuwf20t2rwen4dpqgexrjn,4,0.02467764822012462,14,0.08637176877043617
erd1zj0rtyqggd0p284vxghj27pwyad6rxule9umxfp04cc232lq60xq53p5s8,5,0.03084706027515578,13,0.08020235671540502
erd1wpwvlm8s6xwuz42juptlqj8jzfj7du945pt2vwxamyuxlz5vqckqaggcfv,0,0.0,13,0.08020235671540502
erd1mxsw34u7ry4h2xhvay2q3m6hkke5e90trnekzv7fe74srl2ckhdsd4hg7u,13,0.08020235671540502,13,0.08020235671540502
erd14dkpm66ajqdkdthffdxjyrnmfj24s7wlzw4mz454u03xtudpertqmaxva8,0,0.0,13,0.08020235671540502
erd1tx6fs4tpazwv8ntw43gk0e4qxqp2fzasely52stsmhhvrxcand8q0np0hr,4,0.02467764822012462,13,0.08020235671540502
erd1xvkl7sp3rvhka4sjxpglurdqvwd4c96j39x85l3fa8kalhxt89hqdll94f,0,0.0,13,0.08020235671540502
erd1smuyw4ea870yanwuv9wjl3gz0uhy833el3wzrlnawwlzjarlz5gq26xz82,2,0.01233882411006231,13,0.08020235671540502
erd1260gwsj687sergfypafeyqr3ke9hf6ttgspxja7566mx44y8wz8sdgzjcn,0,0.0,13,0.08020235671540502
erd165mzwqmfyjw50e3dmwx8ru7wl9adhmh7nlqsugnqrn38c3xh5kvsuk8zhf,0,0.0,13,0.08020235671540502
erd1m5ykjk6atuljnhqr5fltnx03352w0ewyrk8cr5tqutneeaa3m8cshrru26,0,0.0,12,0.07403294466037387
erd1s8am67zgvh6fyzh69m27k3k8sxx7dptuv5m9p025pvzctfadtdkssfdhl2,0,0.0,12,0.07403294466037387
erd14fffr5ne0yv3ls5n35lqhhh35sne756r5ehf64hta3q862pshydscvyxmv,0,0.0,12,0.07403294466037387
erd18espre4msvc2vzdcejfl8wphkyk45xz82jzsjaujjf50qa92j97q7sljyu,12,0.07403294466037387,12,0.07403294466037387
erd1agh8kk2e9hudehrtr0lvpagwfq576l9xnfg97474ln9h9wswfl9qmvnlmm,1,0.006169412055031155,12,0.07403294466037387
erd1jty3y84k3jtsra8uju5nu7f7a88yvs9jvgzma578sf80zdsx364swjqzmf,0,0.0,12,0.07403294466037387
